Wall time,Step,Value
1549577987.788696,39232000,2.0509769916534424
1549579244.093804,39360000,2.0161070823669434
1549579464.88465,39383040,2.123779058456421
1549579664.789268,39403520,2.035487174987793
1549581011.473215,39541760,1.907631754875183
1549581432.292251,39585280,2.051806926727295
1549581612.088514,39603200,2.094287872314453
1549581940.654573,39636480,2.0373997688293457
1549582430.216748,39687680,2.114511728286743
1549582754.597542,39720960,2.1215708255767822
1549582928.028801,39738880,2.077986240386963
1549583499.360723,39797760,1.9882535934448242
1549583524.673858,39800320,2.0072154998779297
1549583622.558359,39810560,2.0551018714904785
1549584245.418511,39874560,2.177931308746338
1549584947.298018,39946240,2.0824480056762695
1549585201.416066,39971840,1.980751395225525
1549585575.428182,40010240,1.923663854598999
1549586406.540403,40094720,1.9481998682022095
1549586682.976633,40122880,2.031450033187866
1549587711.564145,40227840,2.0917675495147705
1549588383.145441,40296960,2.0049593448638916
1549589045.76832,40366080,1.9466501474380493
1549589070.020105,40368640,1.917431116104126
1549589803.023807,40442880,1.9477523565292358
1549591088.638154,40573440,2.0716392993927
1549591777.23287,40645120,2.07368803024292
1549592479.526849,40716800,1.9715734720230103
1549592751.704503,40744960,2.039220094680786
1549593473.431807,40819200,2.0596065521240234
1549594513.630105,40924160,2.0103394985198975
1549595737.780494,41049600,2.036053419113159
1549596458.032204,41123840,1.8647304773330688
1549599010.413516,41384960,1.959212064743042
1549599037.715417,41387520,2.06265926361084
1549599064.631172,41390080,1.9939875602722168
1549599190.713012,41402880,1.9554598331451416
1549599466.646639,41431040,1.9054205417633057
1549600092.416648,41495040,1.9731806516647339
1549600765.579997,41564160,2.0047645568847656
1549601609.115118,41651200,2.0918161869049072
1549602764.668971,41768960,2.01304030418396
1549603961.371342,41891840,1.860272765159607
1549604791.28314,41976320,1.8089935779571533
1549604866.862832,41984000,2.03635573387146
1549604892.618567,41986560,1.9399566650390625
1549605638.803896,42060800,1.7604860067367554
1549606188.673883,42117120,1.9533758163452148
1549606686.967596,42168320,2.141162872314453
1549607087.510057,42209280,2.0327320098876953
1549607716.172164,42273280,1.9673494100570679
1549609426.232602,42447360,1.9424188137054443
1549609998.0468,42506240,2.044412851333618
1549613100.490159,42823680,1.9477988481521606
